question_id,gpt-4o_prob
28006,0.1
28155,55.0
27721,5.0
27722,25.0
27723,25.0
28156,85.0
26975,15.0
26844,65.0
25958,25.0
30113,45.0
27733,35.0
26703,3.5
29784,45.0
26778,35.0
26303,38.75
27608,55.0
30616,85.0
29699,85.0
27897,40.0
27283,55.0
26840,75.0
28204,0.0
26095,12.5
29887,85.0
27934,18.75
27447,45.0
27637,15.0
26233,52.0
26986,30.0
26306,85.0
30120,45.0
29277,15.0
25954,10.0
28243,10.0
30119,25.0
27966,70.0
27640,22.5
29706,17.5
26817,20.0
27240,45.0
26387,70.0
27547,10.0
26307,30.0
27638,65.0
26408,85.0
26638,25.0
29012,202.52
27895,8.5
26552,2.0
29431,0.2
27261,45.0
26639,20.0
27089,80.0
29886,50.0
29788,53.0
26232,0.05
25955,52.8
26575,25.0
30008,70.0
29375,65.0
26023,55.0
27604,10.0
29116,1.0
29707,99.9
27967,25.0
27546,5.0
26775,37.5
29066,81.75
28044,27.5
26980,70.0
26821,75.0
27039,0.5
26702,10.0
28008,65.0
29212,60.0
26957,7.5
27748,17.5
29700,10.0
27493,0.2
26158,15.0
29370,75.0
29315,75.0
30198,95.0
27607,30.0
27603,10.0
27911,85.0
29115,0.5
27804,87.5
29371,57.35
26781,3.5
27022,90.0
27138,22.0
28024,10.0
26388,85.0
28039,20.0
25957,60.0
26644,70.0
26773,25.0
28020,20.0
27220,5.0
