question_id,resolution
28336,0
28335,0
28334,0
28306,0
28305,0
28304,0
28303,1
28302,1
28301,0
28300,0
28292,1
28291,1
28290,0
28245,0
28244,1
28243,0
28210,0
28209,0
28208,0
28207,0
28206,1
28205,1
28204,0
28156,0
28155,0
28154,0
28070,1
28069,1
28046,0
28045,0
28044,1
28043,0
28042,0
28041,0
28040,0
28039,0
28038,1
28037,1
28024,0
28022,0
28021,1
28020,0
28008,0
28007,0
28006,0
27969,0
27968,1
27967,0
27966,1
27935,1
27934,0
27933,0
27932,0
27920,0
27919,0
27918,1
27914,0
27913,1
27912,0
27911,1
27897,0
27895,0
27887,1
27886,1
27885,0
27877,0
27876,0
27804,0
27791,0
27790,0
27789,0
27788,1
27749,0
27748,0
27747,0
27746,1
27745,1
27733,1
27732,0
27723,0
27722,0
27721,0
27720,0
27640,0
27639,1
27638,0
27637,0
27610,0
27609,0
27608,0
27607,0
27606,0
27605,0
27604,0
27603,0
27602,0
27584,0
27583,0
27582,0
27581,0
27576,0
27548,0
27547,0
27546,0
27545,1
27539,0
27538,0
27524,0
27523,0
27522,0
27521,0
27515,0
27493,0
27492,0
27491,1
27490,0
27489,0
27488,0
27487,0
27486,1
27485,0
27484,0
27447,0
27283,0
27282,0
27281,0
27279,0
27278,0
27277,0
27263,0
27262,0
27261,0
27260,1
27259,0
27258,0
27248,0
27241,1
27240,1
27239,1
27238,0
27223,0
27222,0
27221,0
27220,0
27219,1
27200,0
27161,1
27160,0
27159,0
27158,0
27157,0
27141,0
27140,1
27138,0
27137,0
27136,1
27135,0
27134,1
27133,0
27132,0
27089,1
27088,0
27087,1
27086,1
27085,0
27039,0
27022,0
27021,0
27020,0
27019,0
27018,0
27017,0
26986,0
26985,0
26984,0
26983,1
26982,1
26981,1
26980,0
26979,1
26978,1
26977,1
26976,0
26975,0
26959,0
26958,0
26957,0
26918,1
26916,1
26915,1
26914,0
26913,0
26844,0
26842,0
26841,0
26840,1
26839,0
26838,0
26837,0
26821,0
26820,0
26819,0
26818,0
26817,0
26816,1
26781,0
26780,0
26779,0
26778,0
26777,0
26776,1
26775,0
26774,0
26773,0
26772,1
26771,0
26706,0
26705,1
26704,1
26703,0
26702,0
26701,1
26700,1
26683,0
26671,1
26670,0
26669,0
26668,1
26667,0
26666,0
26665,0
26646,0
26645,0
26644,0
26643,0
26642,0
26641,1
26640,1
26639,0
26638,1
26577,0
26576,0
26575,1
26573,0
26572,1
26571,0
26570,0
26569,0
26568,0
26555,0
26554,0
26553,0
26552,0
26551,0
26408,0
26407,0
26406,1
26405,0
26404,0
26392,0
26391,0
26390,0
26389,1
26388,0
26387,1
26307,1
26306,1
26305,1
26304,0
26303,0
26302,0
26236,0
26235,0
26234,0
26233,1
26232,0
26216,0
26215,0
26214,1
26213,1
26212,1
26211,1
26196,1
26195,0
26194,1
26193,1
26192,0
26191,1
26189,1
26159,1
26158,1
26157,0
26140,0
26139,0
26138,0
26134,0
26133,1
26102,0
26101,0
26100,1
26099,0
26098,0
26097,0
26096,0
26095,0
26024,1
26023,0
26022,0
26021,0
26020,0
26019,0
26018,0
26017,0
26006,1
26005,0
26004,1
25960,0
25959,0
25958,0
25957,1
25956,0
25955,0
25954,0
25953,1
25952,0
25936,0
25935,0
25934,0
25933,1
25875,1
25874,1
25873,1
25872,1
25871,0
