question_id,category
27897,Politics & Governance
25954,Politics & Governance
26817,Politics & Governance
29375,Politics & Governance
26023,Politics & Governance
25955,Politics & Governance
27447,Politics & Governance
29788,Politics & Governance
29315,Politics & Governance
29370,Politics & Governance
29700,Politics & Governance
29371,Politics & Governance
29699,Politics & Governance
27240,Politics & Governance
27733,Politics & Governance
30113,Politics & Governance
26781,Politics & Governance
26986,Politics & Governance
26844,Politics & Governance
29784,Politics & Governance
26703,Politics & Governance
27804,Politics & Governance
26821,Politics & Governance
27220,Politics & Governance
27608,Politics & Governance
26303,Politics & Governance
26957,Politics & Governance
27895,Politics & Governance
27039,Politics & Governance
28044,Politics & Governance
29212,Politics & Governance
27607,Politics & Governance
26639,Politics & Governance
28006,Politics & Governance
26232,Politics & Governance
29066,Politics & Governance
29277,Politics & Governance
29887,Politics & Governance
27911,Economics & Business
28008,Economics & Business
26387,Economics & Business
28024,Economics & Business
26840,Economics & Business
29012,Economics & Business
29706,Economics & Business
29707,Economics & Business
30616,Economics & Business
26307,Economics & Business
27493,Economics & Business
27721,Economics & Business
27138,Economics & Business
27934,Economics & Business
27722,Economics & Business
28155,Economics & Business
28243,Economics & Business
26306,Economics & Business
26408,Economics & Business
26975,Economics & Business
27638,Economics & Business
27966,Economics & Business
27261,Science & Tech
26158,Science & Tech
26702,Science & Tech
27967,Science & Tech
27640,Science & Tech
29431,Science & Tech
28020,Science & Tech
26644,Science & Tech
27089,Science & Tech
27283,Science & Tech
27022,Science & Tech
26773,Arts & Recreation
27637,Arts & Recreation
27723,Arts & Recreation
26775,Arts & Recreation
29886,Arts & Recreation
30119,Arts & Recreation
30120,Arts & Recreation
26233,Arts & Recreation
30008,Arts & Recreation
25958,Sports
27748,Sports
25957,Sports
29115,Sports
29116,Sports
26388,Sports
26095,Sports
28204,Sports
26552,Healthcare & Biology
27547,Healthcare & Biology
28156,Healthcare & Biology
26575,Healthcare & Biology
30198,Healthcare & Biology
27604,Healthcare & Biology
27603,Healthcare & Biology
27546,Healthcare & Biology
28039,Environment & Energy
26980,Environment & Energy
26778,Environment & Energy
26638,Environment & Energy
